color,rgb_tuple
화이트,"(255, 255, 255)"
블랙,"(0, 0, 0)"
베이지,"(245, 245, 220)"
핑크,"(255, 192, 203)"
스카이블루,"(135, 206, 235)"
그레이,"(128, 128, 128)"
브라운,"(165, 42, 42)"
네이비,"(0, 0, 128)"
레드,"(255, 0, 0)"
옐로우,"(255, 255, 0)"
블루,"(0, 0, 255)"
라벤더,"(230, 230, 250)"
와인,"(114, 47, 55)"
실버,"(192, 192, 192)"
오렌지,"(255, 165, 0)"
카키,"(240, 230, 140)"
그린,"(0, 128, 0)"
퍼플,"(128, 0, 128)"
민트,"(62, 180, 137)"
골드,"(255, 215, 0)"
네온,"(57, 255, 20)"
